,ctx_item_id,arima_orer,seasonal_order,aic,arima_order_p,arima_order_d,arima_order_q,seasonal_order_p,seasonal_order_d,seasonal_order_q,seasonal_order_m
832,FOODS_2_373,"(1, 0, 2)","(0, 0, 0, 12)",459.038204936237,1.0,0.0,2.0,0.0,0.0,0.0,12.0
833,FOODS_2_388,"(3, 0, 0)","(0, 0, 1, 12)",533.2368324742113,3.0,0.0,0.0,0.0,0.0,1.0,12.0
834,FOODS_3_012,"(3, 1, 1)","(0, 0, 0, 12)",514.4067709666531,3.0,1.0,1.0,0.0,0.0,0.0,12.0
835,FOODS_3_025,"(2, 0, 0)","(0, 0, 0, 12)",522.7361124680418,2.0,0.0,0.0,0.0,0.0,0.0,12.0
836,FOODS_3_062,"(3, 1, 0)","(0, 0, 0, 12)",400.37028754663777,3.0,1.0,0.0,0.0,0.0,0.0,12.0
837,FOODS_3_142,"(4, 0, 0)","(0, 0, 0, 12)",416.62786100897256,4.0,0.0,0.0,0.0,0.0,0.0,12.0
838,FOODS_3_199,"(5, 1, 1)","(0, 0, 0, 12)",490.8248402013219,5.0,1.0,1.0,0.0,0.0,0.0,12.0
839,FOODS_3_222,"(0, 1, 0)","(0, 0, 0, 12)",497.8579854012708,0.0,1.0,0.0,0.0,0.0,0.0,12.0
840,FOODS_3_243,"(0, 1, 0)","(0, 0, 0, 12)",392.35851316136313,0.0,1.0,0.0,0.0,0.0,0.0,12.0
841,FOODS_3_325,"(2, 0, 0)","(0, 1, 1, 12)",323.155730572645,2.0,0.0,0.0,0.0,1.0,1.0,12.0
842,FOODS_3_331,"(1, 1, 2)","(1, 0, 0, 12)",435.77829352650394,1.0,1.0,2.0,1.0,0.0,0.0,12.0
843,FOODS_3_361,"(3, 0, 0)","(0, 1, 0, 12)",171.85026700696284,3.0,0.0,0.0,0.0,1.0,0.0,12.0
844,FOODS_3_367,"(4, 0, 0)","(0, 0, 0, 12)",523.3914497981223,4.0,0.0,0.0,0.0,0.0,0.0,12.0
845,FOODS_3_382,"(2, 0, 2)","(0, 0, 0, 12)",193.58691686308526,2.0,0.0,2.0,0.0,0.0,0.0,12.0
